Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,41.529,-44.831,0.0,top
C10,100nF,C_0805_2012Metric,69.579,-89.33,0.0,top
C11,100n,C_0805_2012Metric,46.736,-41.656,0.0,top
C12,100n 100V,C_0805_2012Metric,54.356,-47.6285,90.0,top
C13,100n,C_0805_2012Metric,53.3635,-62.931,-90.0,top
C14,100n,C_0805_2012Metric,53.3635,-71.374,-90.0,top
C15,100n,C_0805_2012Metric,60.833,-65.151,90.0,top
C16,10u,C_0805_2012Metric,67.691,-60.005,90.0,top
C17,100n 100V,C_0805_2012Metric,59.182,-59.69,-90.0,top
C2,100n,C_0805_2012Metric,41.275,-53.975,0.0,top
C3,100n,C_0805_2012Metric,51.943,-53.467,90.0,top
C4,10u,C_0805_2012Metric,46.736,-44.831,0.0,top
C5,100n,C_0805_2012Metric,71.374,-73.14,90.0,top
C6,1n,C_0805_2012Metric,33.312,-76.3295,180.0,top
C7,10u,C_0805_2012Metric,60.96,-36.51,90.0,top
C8,100nF,C_0805_2012Metric,47.752,-53.848,0.0,top
C9,100nF,C_0805_2012Metric,65.659,-59.502,-90.0,top
D1,SMAJ5.0A,D_SMA,33.312,-72.3295,180.0,top
D2,GREEN,LED_0805_2012Metric,55.88,-44.196,0.0,top
D3,RED,LED_0805_2012Metric,55.88,-40.64,0.0,top
J3,Screw_Terminal_01x04,TerminalBlock_MetzConnect_Type086_RT03404HBLC_1x04_P3.81mm_Horizontal,62.909,-96.95,0.0,top
J4,9x9 PIN connector,Wuerth_REDCUBE-THR_WP-THRBU_74650194_THR,64.526,-14.218,-90.0,top
J5,9x9 PIN connector,Wuerth_REDCUBE-THR_WP-THRBU_74650194_THR,31.496,-14.218,-90.0,top
J6,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,77.089,-58.293,90.0,top
J7,Screw_Terminal_01x02,TerminalBlock_MetzConnect_Type703_RT10N02HGLU_1x02_P9.52mm_Horizontal,32.865,-88.265,-90.0,top
PS1,MEE1S0505SC,Converter_DCDC_Murata_MEE1SxxxxSC_THT,44.45,-47.4335,-90.0,top
R1,402k,PP | R_MELF_MMB-0207 | 0805 Compatible,37.7545,-99.9515,0.0,top
R10,4k7,R_0805_2012Metric,74.676,-39.624,180.0,top
R11,4k7,R_0805_2012Metric,74.676,-41.656,180.0,top
R12,330R,R_0805_2012Metric,59.6665,-44.296252,0.0,top
R13,330R,R_0805_2012Metric,59.6665,-40.740252,0.0,top
R14,470R,R_0805_2012Metric,74.2715,-46.482,90.0,top
R15,10K,R_0805_2012Metric,62.484,-73.406,-90.0,top
R16,120R,R_0805_2012Metric,61.3615,-90.6,180.0,top
R17,10k,R_0805_2012Metric,52.324,-47.6485,90.0,top
R2,402k,PP | R_MELF_MMB-0207 | 0805 Compatible,43.4695,-93.0565,90.0,top
R3,402k,PP | R_MELF_MMB-0207 | 0805 Compatible,40.0405,-87.8865,90.0,top
R4,402k,PP | R_MELF_MMB-0207 | 0805 Compatible,39.977,-80.1395,90.0,top
R5,402k,PP | R_MELF_MMB-0207 | 0805 Compatible,39.977,-71.0595,90.0,top
R6,4k7,PP | R_MELF_MMB-0207 | 0805 Compatible,33.312,-67.8845,180.0,top
R7,10k,R_0805_2012Metric,52.6015,-65.786,0.0,top
R8,10k,R_0805_2012Metric,52.6015,-68.326,0.0,top
R9,100K,R_0805_2012Metric,74.676,-43.688,0.0,top
U1,ACPL-C870,SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm,44.8175,-58.42,0.0,top
U2,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,62.484,-59.436,0.0,top
U3,ACS758xCB-200B-PFF,Allegro_CB_PFF,48.016,-27.553,0.0,top
U4,ATtiny1614-SS,SOIC-14_3.9x8.7mm_P1.27mm,65.7625,-43.026252,270.0,top
U5,ADM2483xRW,SOIC-16W_7.5x10.3mm_P1.27mm,65.659,-81.71,180.0,top
