Comment,Designator,Footprint,LCSC
MEE1S0505SC,PS1,Converter_DCDC_Murata_MEE1SxxxxSC_THT,C131038
10u,"C1,C4",C_0805_2012Metric,C15850
100K,R9,R_0805_2012Metric,C17407
10K,"R15,R7,R8",R_0805_2012Metric,C17414
120R,R16,R_0805_2012Metric,C17437
330R,"R12,R13",R_0805_2012Metric,C17630
4k7,"R10,R11,R17",R_0805_2012Metric,C17673
470R,R14,R_0805_2012Metric,C17710
402k,"R1,R2,R3,R4,R5",PP | R_MELF_MMB-0207 | 0805 Compatible,C205375
GREEN,D2,LED_0805_2012Metric,C2297
10u,"C16,C7",C_0805_2012Metric,C28323
4k7,R6,PP | R_MELF_MMB-0207 | 0805 Compatible,C351460
ADS1115IDGS,U2,TSSOP-10_3x3mm_P0.5mm,C37593
ADM2483xRW,U5,SOIC-16W_7.5x10.3mm_P1.27mm,C386280
Screw_Terminal_01x04,J3,TerminalBlock_MetzConnect_Type086_RT03404HBLC_1x04_P3.81mm_Horizontal,C395880
1n,C6,C_0805_2012Metric,C46653
Screw_Terminal_01x02,J6,TerminalBlock_bornier-2_P5.08mm,C475092
ATtiny1614-SS,U4,SOIC-14_3.9x8.7mm_P1.27mm,C481364
100nF,"C10,C11,C12,C13,C14,C15,C2,C3,C5,C8,C9",C_0805_2012Metric,C49678
RED,D3,LED_0805_2012Metric,C84256
SMAJ5.0A,D1,D_SMA,C908198
Screw_Terminal_01x02,J7,TerminalBlock_MetzConnect_Type703_RT10N02HGLU_1x02_P9.52mm_Horizontal,C92145
Debug/UPDI,J2,PinHeader_1x09_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,
9x9 PIN connector,J5,Wuerth_REDCUBE-THR_WP-THRBU_74650194_THR,
9x9 PIN connector,J4,Wuerth_REDCUBE-THR_WP-THRBU_74650194_THR,
ACS758xCB-200B-PFF,U3,Allegro_CB_PFF,
ACPL-C870,U1,SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm,
Conn_01x10_MountingPin,J1,PinHeader_1x10_P2.54mm_Vertical,
PA3/PA4,J8,PinHeader_1x03_P2.54mm_Vertical,
